"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5,R7,R6,R3,R2,R10,R11,R14,R15";"r_0805";9;"10K";;;
2;"L1";"Logo_silk_OSHW_6x6mm";1;"OSHW";;;
3;"L2,L3";"Logo-WL3";2;"Wyolum";;;
4;"R1,R4";"r_0805";2;"470R";;;
5;"S4,S3,S2,S1";"Screw_3mm";4;"CONN_1";;;
6;"D7,A7,A6,B2,A3";"BreakOutPad";5;"CONN_1";;;
7;"R9,R8";"r_0805";2;"4K7";;;
8;"X1";"Xtal_SMD3";1;"16MHz";;;
9;"U1";"TQFP32";1;"ATMEGA328P";;;
10;"P1";"ISP";1;"ICSP";;;
11;"C10,C196,C195,C194";"c_2917";4;"47u";;;
12;"C6,C8,C9,C3,C1,C11,C197,C198,C199";"c_0805";9;"100n";;;
13;"C7,C5";"c_0805";2;"22p";;;
14;"C193,C192,C191,C190,C189,C188,C187,C186,C185,C184,C183,C182,C181,C180,C179,C178,C177,C176,C175,C174,C173,C172,C171,C170,C169,C168,C167,C166,C165,C164,C163,C162,C161,C160,C159,C158,C157,C156,C155,C154,C153,C152,C151,C150,C149,C148,C147,C146,C145,C144,C143,C142,C141,C140,C139,C138,C137,C136,C135,C134,C133,C132,C131,C130,C129,C128,C127,C126,C125,C124,C123,C122,C121,C120,C119,C118,C117,C116,C115,C114,C113,C112,C111,C110,C109,C108,C107,C106,C105,C104,C103,C102,C101,C100,C99,C98,C97,C96,C95,C94,C93,C92,C91,C90,C89,C88,C87,C86,C85,C84,C83,C82,C81,C80,C79,C78,C77,C76,C75,C74,C73,C72,C71,C70,C69,C68,C67,C66,C65,C64,C63,C62,C61,C60,C59,C58,C57,C56,C55,C54,C53,C52,C51,C50,C49,C48,C47,C46,C45,C44,C43,C42,C41,C40,C39,C38,C37,C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C12";"c_0805_led";182;"100n";;;
15;"LED20,LED182,LED181,LED180,LED179,LED178,LED177,LED176,LED175,LED174,LED173,LED172,LED171,LED170,LED169,LED168,LED167,LED166,LED165,LED164,LED163,LED162,LED161,LED160,LED159,LED158,LED157,LED156,LED155,LED154,LED153,LED152,LED151,LED150,LED149,LED148,LED147,LED146,LED145,LED144,LED143,LED142,LED141,LED140,LED139,LED138,LED137,LED136,LED135,LED134,LED133,LED132,LED131,LED130,LED129,LED128,LED127,LED126,LED125,LED124,LED123,LED122,LED121,LED120,LED119,LED118,LED117,LED116,LED115,LED114,LED113,LED112,LED111,LED110,LED109,LED108,LED107,LED106,LED105,LED104,LED103,LED102,LED101,LED100,LED99,LED98,LED97,LED96,LED95,LED94,LED93,LED92,LED91,LED90,LED89,LED88,LED87,LED86,LED85,LED84,LED83,LED82,LED81,LED80,LED79,LED78,LED77,LED76,LED75,LED74,LED73,LED72,LED71,LED70,LED69,LED68,LED67,LED66,LED65,LED64,LED63,LED62,LED61,LED60,LED59,LED58,LED57,LED56,LED55,LED54,LED53,LED52,LED51,LED50,LED49,LED48,LED47,LED46,LED45,LED44,LED43,LED42,LED41,LED40,LED39,LED38,LED37,LED36,LED35,LED34,LED33,LED32,LED31,LED30,LED29,LED28,LED27,LED26,LED25,LED24,LED23,LED22,LED21,LED19,LED18,LED17,LED16,LED15,LED14,LED13,LED12,LED11,LED10,LED9,LED8,LED7,LED6,LED5,LED4,LED3,LED2,LED1";"RGB_WS2811B";182;"WS2812B";;;
16;"P2";"Header_FTDI";1;"FTDI";;;
17;"P6";"r_0805";1;"5VEN_L";;;
18;"P8";"r_0805";1;"5VEN_R";;;
19;"P9";"STACK-R";1;"I2C_R";;;
20;"P7";"STACK-L";1;"I2C_L";;;
21;"BT1";"CR2032_SMD2";1;"Batt_RTC";;;
22;"R12,R13";"r_0805";2;"0R";;;
23;"SW1";"SW_SMD";1;"SW_RST";;;
24;"SW2";"SW_SMD";1;"SW_L";;;
25;"SW3";"SW_SMD";1;"SW_R";;;
26;"U2";"DS3231";1;"DS3231N";;;
27;"P5,P3";"Header_3x1_PWR";2;"PWR_IN";;;
28;"S10,S11,S12,S13";"Slot_tiewrap";4;"CONN_1";;;
29;"P10";"Header_4x1";1;"Marquee";;;
30;"L4";"Logo_silk_OSHW_6x6mm";1;"Chronogram";;;
31;"LDR1,LDR2,LDR3";"r_0805_ldr";3;"LDR";;;
32;"G***";"logo_CG";1;"LOGO";;;
33;"D1";"diode-DO214AA";1;"SMBJ5339B";;;
34;"F1";"f_1812";1;"miniSMDC200F/16";;;
